Type,Public
Traded as,"NASDAQ: GT
S&P 500 Component"
Industry,Manufacturing
Founded,"August 29, 1898; 119 years ago (1898-08-29)
Akron, Ohio, U.S."
Founder,Frank Seiberling
Headquarters,"Akron, Ohio, U.S."
Area served,Worldwide
Key people,"Richard J. Kramer (Chairman, President and CEO)"
Products,Tires
Revenue,US$ 15.158 billion[1] (2016)
Operating income,US$ 1.52 billion[1] (2016)
Net income,US$ 1.264 billion[1] (2016)
Total assets,US$ 16.511 billion[1] (2016)
Total equity,US$ 4.507 billion[1] (2016)
Number of employees,"66,000[1] (2017)"
Subsidiaries,List of subsidiaries
Website,goodyear.com
